"Category","URL","Name","Status","Expected","Redirect","TimeMs","ContentType"
"Root","https://nekotab.app/","Homepage","200","200",,"1099","text/html; charset=utf-8"
"Root","https://nekotab.app/start/","Blank site start","302","200","/","765","text/html; charset=utf-8"
"Root","https://nekotab.app/style/","Style guide","200","200",,"289","text/html; charset=utf-8"
"Root","https://nekotab.app/create/","Create tournament","302","200 or 302","/accounts/login/?next=/create/","235","text/html; charset=utf-8"
"Root","https://nekotab.app/create/ie/","Create IE tournament","302","200 or 302","/accounts/login/?next=/create/ie/","239","text/html; charset=utf-8"
"Root","https://nekotab.app/create/congress/","Create congress tournament","302","200 or 302","/accounts/login/?next=/create/congress/","238","text/html; charset=utf-8"
"Root","https://nekotab.app/register/tournament/","Register + create tournament","302","200","/accounts/login/?next=/register/tournament/","239","text/html; charset=utf-8"
"Root","https://nekotab.app/register/organization/","Register + create org","302","200","/accounts/login/?next=/register/organization/","241","text/html; charset=utf-8"
"Root","https://nekotab.app/for-organizers/","Marketing page","200","200",,"309","text/html; charset=utf-8"
"Root","https://nekotab.app/free-debate-tab-software/","SEO page","200","200",,"277","text/html; charset=utf-8"
"Root","https://nekotab.app/bp-debate-tabulation/","SEO page BP","200","200",,"319","text/html; charset=utf-8"
"Root","https://nekotab.app/tabroom-alternative/","SEO page Tabroom","200","200",,"325","text/html; charset=utf-8"
"Root","https://nekotab.app/sitemap.xml","Sitemap","200","200 XML",,"295","application/xml"
"Root","https://nekotab.app/robots.txt","Robots","200","200 text",,"283","text/plain"
"Root","https://nekotab.app/ads.txt","Ads","200","200 text",,"282","text/plain"
"Root","https://nekotab.app/googlee0a2b1e83278e880.html","Verification 1","200","200",,"304","text/html; charset=utf-8"
"Root","https://nekotab.app/google4a7d5456478d704b.html","Verification 2","200","200",,"321","text/html; charset=utf-8"
"Root","https://nekotab.app/api/","API root","500","200 JSON",,"393","text/html; charset=utf-8"
"Root","https://nekotab.app/api/v1/","API v1 root","404","200 JSON",,"334","text/html; charset=utf-8"
"Root","https://nekotab.app/api/schema/","OpenAPI schema","404","200",,"274","text/html; charset=utf-8"
"Root","https://nekotab.app/api/schema/redoc/","API docs","200","200",,"417","text/html; charset=utf-8"
"Auth","https://nekotab.app/accounts/login/","Login","200","200",,"273","text/html; charset=utf-8"
"Auth","https://nekotab.app/accounts/signup/","Signup","200","200",,"285","text/html; charset=utf-8"
"Auth","https://nekotab.app/accounts/password_reset/","Password Reset","200","200",,"318","text/html; charset=utf-8"
"Auth","https://nekotab.app/accounts/password_reset/done/","Password Reset Done","200","200",,"273","text/html; charset=utf-8"
"Auth","https://nekotab.app/accounts/logout/","Logout","405","302",,"238","text/html; charset=utf-8"
"Global","https://nekotab.app/forum/","Forum home","200","200",,"292","text/html; charset=utf-8"
"Global","https://nekotab.app/motions-bank/","Motion Bank home","200","200",,"277","text/html; charset=utf-8"
"Global","https://nekotab.app/motions-bank/doctor/","Motion Doctor","200","200",,"283","text/html; charset=utf-8"
"Global","https://nekotab.app/passport/","Passport directory","200","200",,"293","text/html; charset=utf-8"
"Global","https://nekotab.app/organizations/","Org list","302","200 or 302","/accounts/login/?next=/organizations/","235","text/html; charset=utf-8"
"Global","https://nekotab.app/campaigns/","Campaign list","302","200 or 302","/accounts/login/","237","text/html; charset=utf-8"
"Global","https://nekotab.app/analytics/","Analytics dashboard","302","200 or 302/403","/accounts/login/?next=/analytics/","235","text/html; charset=utf-8"
"Global","https://nekotab.app/notifications/status/","Email status","404","200 or 302",,"284","text/html; charset=utf-8"
"TourneyPublic-Path","https://nekotab.app/dc-2026/","Tournament homepage","301","200","https://dc-2026.nekotab.app/","236","text/html; charset=utf-8"
"TourneyPublic-Path","https://nekotab.app/dc-2026/schedule/","Public schedule","301","200","https://dc-2026.nekotab.app/schedule/","234","text/html; charset=utf-8"
"TourneyPublic-Path","https://nekotab.app/dc-2026/draw/","Current round draw","301","200","https://dc-2026.nekotab.app/draw/","235","text/html; charset=utf-8"
"TourneyPublic-Path","https://nekotab.app/dc-2026/draw/round/1/","Draw for round 1","301","200","https://dc-2026.nekotab.app/draw/round/1/","234","text/html; charset=utf-8"
"TourneyPublic-Path","https://nekotab.app/dc-2026/draw/sides/","Side allocations","301","200","https://dc-2026.nekotab.app/draw/sides/","235","text/html; charset=utf-8"
"TourneyPublic-Path","https://nekotab.app/dc-2026/results/","Public results index","301","200","https://dc-2026.nekotab.app/results/","234","text/html; charset=utf-8"
"TourneyPublic-Path","https://nekotab.app/dc-2026/results/round/1/","Results for round 1","301","200","https://dc-2026.nekotab.app/results/round/1/","237","text/html; charset=utf-8"
"TourneyPublic-Path","https://nekotab.app/dc-2026/motions/","Released motions","301","200","https://dc-2026.nekotab.app/motions/","234","text/html; charset=utf-8"
"TourneyPublic-Path","https://nekotab.app/dc-2026/motions/statistics/","Motion statistics","301","200","https://dc-2026.nekotab.app/motions/statistics/","236","text/html; charset=utf-8"
"TourneyPublic-Path","https://nekotab.app/dc-2026/participants/list/","Participant list","301","200","https://dc-2026.nekotab.app/participants/list/","237","text/html; charset=utf-8"
"TourneyPublic-Path","https://nekotab.app/dc-2026/participants/institutions/","Institution list","301","200","https://dc-2026.nekotab.app/participants/institutions/","235","text/html; charset=utf-8"
